fsim_conditional_flame_length_bin,bin_id,WS_MODULE_THERMAL_DR,WS_RACKING_THERMAL_DR,WS_FOUNDATION_REVIEW_DR,WS_INVERTER_CONTROL_DIRECT_DR,WS_COMBINER_CONNECTOR_DR,WS_DC_CABLE_EXPOSED_DR,WS_MV_EQUIPMENT_SPLIT_REQUIRED_DR,WS_GROUNDING_LIGHTNING_REVIEW_DR,WS_SCADA_CONTROL_DIRECT_DR,WS_CIVIL_INFRA_SPLIT_REQUIRED_DR,dr_ordinate_status
<2 ft,lt_2_ft,,,,,,,,,,,WITHHELD_NO_RUNTIME_CURVE
2 to <4 ft,gte_2_lt_4_ft,,,,,,,,,,,WITHHELD_NO_RUNTIME_CURVE
4 to <6 ft,gte_4_lt_6_ft,,,,,,,,,,,WITHHELD_NO_RUNTIME_CURVE
6 to <8 ft,gte_6_lt_8_ft,,,,,,,,,,,WITHHELD_NO_RUNTIME_CURVE
8 to <12 ft,gte_8_lt_12_ft,,,,,,,,,,,WITHHELD_NO_RUNTIME_CURVE
>=12 ft,gte_12_ft,,,,,,,,,,,WITHHELD_NO_RUNTIME_CURVE
